date,timestamp,value
2023/4/7 2:01,1680804065,35416.05547
2023/4/7 2:03,1680804185,35735.33333
2023/4/7 2:05,1680804305,33210.17718
2023/4/7 2:07,1680804425,25997.4
2023/4/7 2:09,1680804545,21805.76667
2023/4/7 2:11,1680804665,26075.58333
2023/4/7 2:13,1680804785,29208.97513
2023/4/7 2:15,1680804905,27612.90323
2023/4/7 2:17,1680805025,33212.15505
2023/4/7 2:19,1680805145,20619.48097
2023/4/7 2:21,1680805265,27879.19284
2023/4/7 2:23,1680805385,29074.54379
2023/4/7 2:25,1680805505,29855.93333
2023/4/7 2:27,1680805625,24520.99202
2023/4/7 2:29,1680805745,23531.64937
2023/4/7 2:31,1680805865,22399.01002
2023/4/7 2:33,1680805985,28277.54537
2023/4/7 2:35,1680806105,31587.76959
2023/4/7 2:37,1680806225,21886.9
2023/4/7 2:39,1680806345,24780.52236
2023/4/7 2:41,1680806465,24772.78637
2023/4/7 2:43,1680806585,28515.59245
2023/4/7 2:45,1680806705,28671.08333
2023/4/7 2:47,1680806825,24806.83826
2023/4/7 2:49,1680806945,23241.69084
2023/4/7 2:51,1680807065,22740.79445
2023/4/7 2:53,1680807185,27085.53476
2023/4/7 2:55,1680807305,28905.51667
2023/4/7 2:57,1680807425,28206.91495
2023/4/7 2:59,1680807545,24717.32862
2023/4/7 3:01,1680807665,24613.32
2023/4/7 3:03,1680807785,28048.39677
2023/4/7 3:05,1680807905,30166.52222
2023/4/7 3:07,1680808025,23539.8817
2023/4/7 3:09,1680808145,23242.7267
2023/4/7 3:11,1680808265,23597.09304
2023/4/7 3:13,1680808385,28491.56667
2023/4/7 3:15,1680808505,28297.48333
2023/4/7 3:17,1680808625,20692.34487
2023/4/7 3:19,1680808745,26060.74494
2023/4/7 3:21,1680808865,24457.16667
2023/4/7 3:23,1680808985,27458.79235
2023/4/7 3:25,1680809105,26713.69779
2023/4/7 3:27,1680809225,22481.34938
2023/4/7 3:29,1680809345,25627.81667
2023/4/7 3:31,1680809465,22748.50868
2023/4/7 3:33,1680809585,27872.79788
2023/4/7 3:35,1680809705,27983.31667
2023/4/7 3:37,1680809825,26243.71135
2023/4/7 3:39,1680809945,38434.20592
2023/4/7 3:41,1680810065,23596.93333
2023/4/7 3:43,1680810185,28697.01565
2023/4/7 3:45,1680810305,31987.91667
2023/4/7 3:47,1680810425,23098.85475
2023/4/7 3:49,1680810545,23120.71667
2023/4/7 3:51,1680810665,21529.23041
2023/4/7 3:53,1680810785,28371.15429
2023/4/7 3:55,1680810905,29134.93333
2023/4/7 3:57,1680811025,21456.30356
2023/4/7 3:59,1680811145,22166.28064
2023/4/7 4:01,1680811265,21058.59504
2023/4/7 4:03,1680811385,30213.56667
2023/4/7 4:05,1680811505,27740.81854
2023/4/7 4:07,1680811625,21353.2039
2023/4/7 4:09,1680811745,26951.96667
2023/4/7 4:11,1680811865,23878.91868
2023/4/7 4:13,1680811985,27512.01667
2023/4/7 4:15,1680812105,26782.16667
2023/4/7 4:17,1680812225,22646.89411
2023/4/7 4:19,1680812345,23202.1133
2023/4/7 4:21,1680812465,21922.46537
2023/4/7 4:23,1680812585,27977.29357
2023/4/7 4:25,1680812705,31346.21989
2023/4/7 4:27,1680812825,22116.9922
2023/4/7 4:29,1680812945,23857.54046
2023/4/7 4:31,1680813065,22045.36667
2023/4/7 4:33,1680813185,27558.65736
2023/4/7 4:35,1680813305,28942.81381
2023/4/7 4:37,1680813425,23918.96667
2023/4/7 4:39,1680813545,22276.03333
2023/4/7 4:41,1680813665,22131.98206
2023/4/7 4:43,1680813785,27743.35428
2023/4/7 4:45,1680813905,26888.1352
2023/4/7 4:47,1680814025,21891.73514
2023/4/7 4:49,1680814145,22794.7
2023/4/7 4:51,1680814265,22715.36667
2023/4/7 4:53,1680814385,29322.15
2023/4/7 4:55,1680814505,26738.66231
2023/4/7 4:57,1680814625,20663.8556
2023/4/7 4:59,1680814745,26010.96667
